state,total_users,cell_with_manufacturer_mw,cell_with_reseller_mw,module_with_manufacturer_mw,module_with_reseller_mw,cell_unclaimed_with_manufacturer_mw,cell_unclaimed_with_reseller_mw,module_unclaimed_with_manufacturer_mw,module_unclaimed_with_reseller_mw,scraped_at
Tamil Nadu,1195,724.7862415313721,0.6354299783706665,2697.1369152367115,216.22305382654304,15.286341667175293,5.821671009063721,3280.036304652691,106.56809757591691,2026-07-28T01:15:34
Maharashtra,5847,342.1619271831587,0.0,187.94152491819113,1869.7968973849784,11.992555379867554,0.0,275.7114707157016,907.0848659725827,2026-07-28T01:15:34
Karnataka,413,878.2504804134369,0.2277487237151945,318.8786976672709,57.28795031941263,26.812368392944336,0.0,2102.8362551927567,16.243039894034155,2026-07-28T01:15:34
Gujarat,2161,261.5530522281624,7.8357945004390785,176.96084539603908,1320.3135310565121,0.1835400015115738,11.238203585147858,374.515659855213,439.91193544009,2026-07-28T01:15:34
Rajasthan,2801,32.67983227968216,0.7573723183886614,6.051565681875218,1809.3760144935222,0.0,0.0,25.416409492492676,304.61810503696324,2026-07-28T01:15:34
Haryana,1123,304.04522597789764,11.191985234618187,32.73558745905757,543.4208699674055,39.71933356655063,2.5001365615898976,653.650271166116,293.89727184694493,2026-07-28T01:15:34
Telangana,536,251.3444209676818,8.67660254955291,37.01688504451886,153.39878430229146,31.970602989196777,2.6233128011226654,962.0306491851807,77.49570329312701,2026-07-28T01:15:34
Uttar Pradesh,6454,104.01861461997032,4.71819494470401,136.80471063125879,569.2471000963124,0.0,1.622704267501831,157.77787366881967,267.9856351570925,2026-07-28T01:15:34
Madhya Pradesh,1502,0.0,0.0,0.0,413.4980226222542,0.0,0.0,0.0,401.6319663282484,2026-07-28T01:15:34
West Bengal,192,90.06193080544472,0.0,490.29147789627314,33.94499534764327,109.93982261791825,0.0,39.68827525526285,12.778565141605213,2026-07-28T01:15:34
Delhi,208,9.78027892112732,0.6559487581253052,0.16492441855370998,684.5658799415687,0.0,0.0,16.82901495695114,34.232464927074034,2026-07-28T01:15:34
