calendar_year,month,month_number,state_code,state,vehicle_category,fuel_group,fuel_type,registrations,monthly_state_row_total,source,scraped_at
2021,2021-01,1,AN,Andaman & Nicobar Island,HEAVY GOODS VEHICLE,Diesel,DIESEL,3,3,state_category_fuel_month,2026-05-15T15:54:51
2021,2021-01,1,AN,Andaman & Nicobar Island,HEAVY PASSENGER VEHICLE,EV,ELECTRIC(BOV),14,14,state_category_fuel_month,2026-05-15T15:54:51
2021,2021-01,1,AN,Andaman & Nicobar Island,LIGHT GOODS VEHICLE,Diesel,DIESEL,12,12,state_category_fuel_month,2026-05-15T15:54:51
2021,2021-01,1,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,Diesel,DIESEL,11,119,state_category_fuel_month,2026-05-15T15:54:51
2021,2021-01,1,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,Hybrid,PETROL/HYBRID,1,119,state_category_fuel_month,2026-05-15T15:54:51
2021,2021-01,1,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,Petrol,PETROL,107,119,state_category_fuel_month,2026-05-15T15:54:51
2021,2021-01,1,AN,Andaman & Nicobar Island,LIGHT PASSENGER VEHICLE,Petrol,PETROL,1,1,state_category_fuel_month,2026-05-15T15:54:51
2021,2021-01,1,AN,Andaman & Nicobar Island,MEDIUM GOODS VEHICLE,Diesel,DIESEL,2,2,state_category_fuel_month,2026-05-15T15:54:51
2021,2021-01,1,AN,Andaman & Nicobar Island,THREE WHEELER(T),EV,ELECTRIC(BOV),1,3,state_category_fuel_month,2026-05-15T15:54:51
2021,2021-01,1,AN,Andaman & Nicobar Island,THREE WHEELER(T),Petrol,PETROL,2,3,state_category_fuel_month,2026-05-15T15:54:51
2021,2021-01,1,AN,Andaman & Nicobar Island,TWO WHEELER(NT),Petrol,PETROL,371,371,state_category_fuel_month,2026-05-15T15:54:51
2021,2021-02,2,AN,Andaman & Nicobar Island,HEAVY GOODS VEHICLE,Diesel,DIESEL,11,11,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,HEAVY MOTOR VEHICLE,Diesel,DIESEL,1,1,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,HEAVY PASSENGER VEHICLE,EV,ELECTRIC(BOV),26,26,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,LIGHT GOODS VEHICLE,Diesel,DIESEL,5,5,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,Diesel,DIESEL,16,101,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,Hybrid,PETROL/HYBRID,2,101,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,Petrol,PETROL,83,101,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,LIGHT PASSENGER VEHICLE,Diesel,DIESEL,8,9,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,LIGHT PASSENGER VEHICLE,Petrol,PETROL,1,9,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,MEDIUM GOODS VEHICLE,Diesel,DIESEL,3,3,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,THREE WHEELER(T),Diesel,DIESEL,2,14,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,THREE WHEELER(T),Petrol,PETROL,12,14,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-02,2,AN,Andaman & Nicobar Island,TWO WHEELER(NT),Petrol,PETROL,373,373,state_category_fuel_month,2026-05-15T15:54:53
2021,2021-03,3,AN,Andaman & Nicobar Island,HEAVY GOODS VEHICLE,Diesel,DIESEL,12,12,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,LIGHT GOODS VEHICLE,Diesel,DIESEL,8,8,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,Diesel,DIESEL,12,124,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,EV,ELECTRIC(BOV),2,124,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,Hybrid,PETROL/HYBRID,1,124,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,Petrol,PETROL,109,124,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,LIGHT PASSENGER VEHICLE,Diesel,DIESEL,1,3,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,LIGHT PASSENGER VEHICLE,Hybrid,PETROL/HYBRID,1,3,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,LIGHT PASSENGER VEHICLE,Petrol,PETROL,1,3,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,MEDIUM GOODS VEHICLE,Diesel,DIESEL,1,1,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,THREE WHEELER(T),Diesel,DIESEL,1,44,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,THREE WHEELER(T),EV,ELECTRIC(BOV),29,44,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,THREE WHEELER(T),Petrol,PETROL,14,44,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,TWO WHEELER(NT),Diesel,DIESEL,1,444,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-03,3,AN,Andaman & Nicobar Island,TWO WHEELER(NT),Petrol,PETROL,443,444,state_category_fuel_month,2026-05-15T15:54:54
2021,2021-04,4,AN,Andaman & Nicobar Island,HEAVY GOODS VEHICLE,Diesel,DIESEL,10,10,state_category_fuel_month,2026-05-15T15:54:55
2021,2021-04,4,AN,Andaman & Nicobar Island,HEAVY MOTOR VEHICLE,Diesel,DIESEL,1,1,state_category_fuel_month,2026-05-15T15:54:55
2021,2021-04,4,AN,Andaman & Nicobar Island,LIGHT GOODS VEHICLE,Diesel,DIESEL,16,17,state_category_fuel_month,2026-05-15T15:54:55
2021,2021-04,4,AN,Andaman & Nicobar Island,LIGHT GOODS VEHICLE,Petrol,PETROL,1,17,state_category_fuel_month,2026-05-15T15:54:55
2021,2021-04,4,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,Diesel,DIESEL,12,161,state_category_fuel_month,2026-05-15T15:54:55
2021,2021-04,4,AN,Andaman & Nicobar Island,LIGHT MOTOR VEHICLE,EV,ELECTRIC(BOV),9,161,state_category_fuel_month,2026-05-15T15:54:55
